id,username,status,center
94496757,MGF91,former,CEE
52667287,magoreyes,current,CEE
1247720201501552641,Ar_charleston,former,CEE
45420967,ricardo_delao,former,CEE
818414802,Monsieur_JABS,current,CEI
1059655520938688513,maritzagomre,current,CEH
186689866,David_Vertty,current,CEI
981494792,paco_rueda_,current,CEE
825100500307738626,Rijasso,former,CEI
3743966598,atzinchiguil,current,CEE
170398596,pablo_derbez,current,CEE
335595350,AxelorioPangs,former,CEE
1372542209262813185,__miirrrr,former,CEE
1117960034,apgarzag,former,CEI
809934481,la_sanalotodo,current,CEI
127685309,Pau_Bouchot,former,CEE
81214553,val_mrls,former,CEI
2885499000,luis__fer__,current,CEE
1345526364,CEGudino,former,CEE
153982881,Regina_RT,former,CEI
284978538,GWCampuzano,former,CEE
40105481,tatianafd,former,CEI
587894779,Arturo_APR,former,CEI
131965979,Aprilis_T,former,CES
798727988,xime_leono,current,CEI
459780476,rodasmilian,former,CEE
131106194,JosueRM320,current,CEDUA
872981619220545536,BMOG00,current,CEI
887641962,_Mar1508,current,CEI
15458205,gomezlovera,former,CEE
523830221,_diegoac,former,CEE
162773274,los_agachados,former,CEE
1252890854,angiefael,current,CEE
1101215930963685378,santana_sabine,former,CEE
1202734710,rodrigo_charvel,current,CEI
183467283,luisfpergo,current,CEE
113233082,Marco_mna,current,CEE
1721825347,xilngocentrista,current,CEI
894546181,laqueandaxahi,former,CEI
255707088,willschoning,current,CEI
1171187428922728448,Laurita_DiRam,former,CEE
967830650894958593,fide_ap,current,CEDUA
1282089660509020161,DianaMartnezPa3,former,CEE
442592847,carmenfaroo,current,CELL
103772258,Julianatilano,former,CES
140475130,lillianmvr,current,CEDUA
139301627,vcardenas77,current,CEDUA
1024853147057967104,Rosales_MX_,former,CEDUA
286782054,GermanCampos1,current,CEE
1259926819425275904,tuiteaoscar,current,CEE
1008889656191025152,Freyvaz92,current,CEDUA
2455365890,MesiKhaleesi,current,CEDUA
179349364,_akaarigato,former,CEDUA
97308802,moredestructive,current,CEI
378054056,Marianasanudo,current,CEE
260316940,LeoEnriquezH,current,CEE
260088313,JuvenalCamposF,former,CEE
1096180073504428032,MarianoT306,current,CEE
1891492303,zalvadormt ,current,CES
346363412,anakarenmagar,former,CEE
213939726,maurod1993,former,CEI
59946772,Itzel_vqz,current,CEDUA
375979218,stfuyair__,current,CEI
241262103,solodimemario,current,CEI
1262501750868570112,DyssodiaPinnata,current,CEDUA
269538496,de_ruisenor,current,CEDUA
1199086748795625472,Fernando_HPach,current,CEE
85839725,CFraustoLara,former,CEI
1649552401,Yesmetztli ,current,CEE
97209751,HugoCastroH,former,CEE
963378100166897664,fatalefrau,former,CEI
1897528387,anacatpin,former,CEDUA
3053649281,cbuburron,current,CEI
837771794639642624,Ann_Plapelia,current,CEDUA
